date,open,high,low,close,volume,oi
2024-10-23 13:42:00+05:30,211.15,211.7,193.5,194.55,8650,86440
2024-10-23 13:45:00+05:30,193.85,203.6,187,200.65,7650,86360
2024-10-23 13:48:00+05:30,200.65,207,192.75,192.75,8690,86870
2024-10-23 13:51:00+05:30,192.75,205.6,187.35,202.3,6160,86000
2024-10-23 13:54:00+05:30,202.3,206.95,197.6,201.2,5620,85640
2024-10-23 13:57:00+05:30,201.2,205.4,192,194.8,9280,86370
2024-10-23 14:00:00+05:30,194.8,207.45,194.8,205,6080,86250
2024-10-23 14:03:00+05:30,204.95,211.7,194.65,194.65,11590,86390
2024-10-23 14:06:00+05:30,194.65,195.65,185,193.7,8430,86100
2024-10-23 14:09:00+05:30,196.65,227.85,196,212.5,20400,85880
2024-10-23 14:12:00+05:30,215.6,282.2,214.15,267.65,36470,85910
2024-10-23 14:15:00+05:30,264.7,295.45,264.55,294.85,46990,84530
2024-10-23 14:18:00+05:30,297.8,302.45,280,295.1,28680,82000
2024-10-23 14:21:00+05:30,296.4,356.05,283.45,349.3,44580,78120
2024-10-23 14:24:00+05:30,350.4,364.15,318,329.55,69880,79960
2024-10-23 14:27:00+05:30,325.85,333.55,278.15,312.65,37370,87860
2024-10-23 14:30:00+05:30,314.45,327.85,298.8,326.75,29680,89470
2024-10-23 14:33:00+05:30,323.75,331.45,296.1,303.35,36430,90590
2024-10-23 14:36:00+05:30,303.55,362.2,300,350.25,74010,92190
2024-10-23 14:39:00+05:30,353.7,360,323.8,334.45,43820,89210
2024-10-23 14:42:00+05:30,338.15,350.8,305.4,339.85,46580,84880
2024-10-23 14:45:00+05:30,341.8,354.7,299,335.1,57880,88775
2024-10-23 14:48:00+05:30,332.4,336,297.85,308.4,33620,88230
2024-10-23 14:51:00+05:30,306.45,326.95,305.95,319,23400,89400
2024-10-23 14:54:00+05:30,319.8,335,313.5,325.75,25280,85750
2024-10-23 14:57:00+05:30,325.75,333.8,313.65,318,18140,87640
2024-10-23 15:00:00+05:30,315.95,325,272.2,304.85,51740,85110
2024-10-23 15:03:00+05:30,304.85,315,286.65,290.65,25070,88710
2024-10-23 15:06:00+05:30,289.25,320.55,283.5,318.25,29900,90230
2024-10-23 15:09:00+05:30,318.25,321.65,302,315.35,20560,89470
2024-10-23 15:12:00+05:30,315.35,326.6,313.05,326,30330,81380
2024-10-23 15:15:00+05:30,324.65,324.9,308,313.8,33530,71880
2024-10-23 15:18:00+05:30,312.5,316,291,308.1,26690,76090
2024-10-23 15:21:00+05:30,309.75,315.9,300,315.9,23960,73670
2024-10-23 15:24:00+05:30,315.9,322.45,312,313,23160,82420
2024-10-23 15:27:00+05:30,315,319.75,303.7,315,25170,77870
2024-10-24 09:15:00+05:30,314.85,314.85,231.65,271.65,179610,76600
2024-10-24 09:18:00+05:30,271.65,319.7,252.7,300.5,153590,88100
2024-10-24 09:21:00+05:30,304.5,319.75,241.9,264.95,121540,109270
2024-10-24 09:24:00+05:30,267.35,281.75,250.15,256.95,77130,113710
2024-10-24 09:27:00+05:30,253.2,289.2,244.25,270.4,122650,128340
2024-10-24 09:30:00+05:30,270.4,283.25,256.2,271.65,78250,133710
2024-10-24 09:33:00+05:30,271.65,341.45,271.65,315.15,202670,147500
2024-10-24 09:36:00+05:30,315.15,378.5,315.15,362.7,224640,155310
2024-10-24 09:39:00+05:30,358.25,419.9,339.9,386.45,160580,135550
2024-10-24 09:42:00+05:30,389,413.85,355.8,376.7,76860,142300
2024-10-24 09:45:00+05:30,377.3,396.05,356.75,367.2,70850,124880
2024-10-24 09:48:00+05:30,367.2,390,365.2,373.7,44140,122810
2024-10-24 09:51:00+05:30,373.7,389.05,315.3,337.55,94070,121070
2024-10-24 09:54:00+05:30,337.35,340.9,301.05,310.45,96920,122290
2024-10-24 09:57:00+05:30,310.45,319.45,281.9,285.75,82530,124910
2024-10-24 10:00:00+05:30,285.75,291.85,254.9,274.45,130900,146880
2024-10-24 10:03:00+05:30,271.85,300.6,268.45,272.15,108980,161970
2024-10-24 10:06:00+05:30,271.15,277.8,223.4,230,116030,165270
2024-10-24 10:09:00+05:30,231.55,250.55,223.35,244.9,102920,173480
2024-10-24 10:12:00+05:30,244.9,246.5,220,226.4,45430,218650
2024-10-24 10:15:00+05:30,228.45,245,221.05,240.85,53520,220160
2024-10-24 10:18:00+05:30,241.25,272.15,240.55,252.15,84690,228550
2024-10-24 10:21:00+05:30,253.05,266.1,246.1,262.8,56390,228980
2024-10-24 10:24:00+05:30,262.8,263.65,238.95,251.75,60920,242090
2024-10-24 10:27:00+05:30,248.7,248.9,231,236.05,54780,238190
2024-10-24 10:30:00+05:30,236.45,249.3,231,242.05,59260,246240
2024-10-24 10:33:00+05:30,242.05,244,220.3,221.65,76820,245160
2024-10-24 10:36:00+05:30,221.65,245.9,218.25,223.45,62990,267890
2024-10-24 10:39:00+05:30,222.15,228,210.95,220.85,50310,275010
2024-10-24 10:42:00+05:30,223.75,227.85,217.25,226.55,23230,278660
2024-10-24 10:45:00+05:30,226,235.05,218.4,232.15,35620,275270
2024-10-24 10:48:00+05:30,232.15,239.05,222.75,224.7,62280,274360
2024-10-24 10:51:00+05:30,224.25,238.95,221.6,230,45010,280560
2024-10-24 10:54:00+05:30,230,233.55,220.6,230.35,47210,282920
2024-10-24 10:57:00+05:30,230.35,258.15,230.35,254.05,79290,288330
2024-10-24 11:00:00+05:30,254.05,259,240.55,241.9,109510,300520
2024-10-24 11:03:00+05:30,244,246.65,219.75,226.35,123170,284140
2024-10-24 11:06:00+05:30,227.2,240.85,225.35,239.65,53720,265560
2024-10-24 11:09:00+05:30,240,245.35,230.35,231.4,64450,253750
2024-10-24 11:12:00+05:30,231.4,238.75,229,231,45160,271980
2024-10-24 11:15:00+05:30,230.9,235.8,219.8,233.85,78310,284160
2024-10-24 11:18:00+05:30,233.85,236,201.65,201.65,85640,283930
2024-10-24 11:21:00+05:30,202.15,213.8,199.1,211.6,65410,286640
2024-10-24 11:24:00+05:30,211.6,214.9,197.3,206.65,54040,281160
2024-10-24 11:27:00+05:30,206.65,215.85,205.9,210,40930,281680
2024-10-24 11:30:00+05:30,209,211.85,199.9,199.9,38760,286550
2024-10-24 11:33:00+05:30,198,201.55,190.2,201.55,56630,293240
2024-10-24 11:36:00+05:30,201.05,202.7,189.2,198.8,49600,295570
2024-10-24 11:39:00+05:30,198.8,201.1,194.85,197.8,26690,294850
2024-10-24 11:42:00+05:30,197.8,207.35,196.75,207.35,54260,296790
2024-10-24 11:45:00+05:30,207.35,214.6,206.25,212.9,48500,298280
2024-10-24 11:48:00+05:30,212.8,217.55,211.25,211.65,55440,306300
2024-10-24 11:51:00+05:30,213.95,224.3,213.4,216.9,70570,309160
2024-10-24 11:54:00+05:30,217.8,222.4,212.3,215.05,46990,311540
2024-10-24 11:57:00+05:30,215.05,217.8,206.85,207.4,63240,309970
2024-10-24 12:00:00+05:30,207.4,209.3,200,204.15,56580,310180
2024-10-24 12:03:00+05:30,203.9,205.8,194.3,197.15,58020,308090
2024-10-24 12:06:00+05:30,197.45,203.1,192.95,202.55,53360,309220
2024-10-24 12:09:00+05:30,202.55,204,198,199.7,37280,314110
2024-10-24 12:12:00+05:30,199.7,204.35,197.5,202.65,33810,314650
2024-10-24 12:15:00+05:30,203.4,206.15,200.5,203.5,34090,316500
2024-10-24 12:18:00+05:30,203.5,205.35,193.75,198.35,29600,313280
2024-10-24 12:21:00+05:30,198.35,201.1,192.85,199.25,35420,310720
2024-10-24 12:24:00+05:30,199.25,203.9,197.5,198.85,24840,306210
2024-10-24 12:27:00+05:30,198.85,203.1,197.65,201.6,14670,306340
2024-10-24 12:30:00+05:30,200.7,201.8,194.4,196,29840,306970
2024-10-24 12:33:00+05:30,196.6,197.2,178.7,180.5,82740,307400
2024-10-24 12:36:00+05:30,179.75,180.8,171.2,178,78120,301820
2024-10-24 12:39:00+05:30,178,183.9,177.5,183.1,33590,308050
2024-10-24 12:42:00+05:30,183.1,183.1,171.75,173.05,48100,312010
2024-10-24 12:45:00+05:30,175,175.95,172.55,175,37340,309620
2024-10-24 12:48:00+05:30,175,184.45,175,184.45,42450,317250
2024-10-24 12:51:00+05:30,184.45,187.8,179.5,186.95,44520,315360
2024-10-24 12:54:00+05:30,186,193.95,185.55,189.25,60630,308010
2024-10-24 12:57:00+05:30,189.5,190.05,185,187.15,30650,308010
2024-10-24 13:00:00+05:30,187.1,187.95,181.8,185.65,37780,314540
2024-10-24 13:03:00+05:30,185.65,188.4,181.35,183.35,29510,318690
2024-10-24 13:06:00+05:30,183.35,186.35,178.8,182.05,40000,323410
2024-10-24 13:09:00+05:30,182.4,186.75,180.75,185.95,23730,322690
2024-10-24 13:12:00+05:30,185.95,193.5,184.85,188.05,56070,316790
2024-10-24 13:15:00+05:30,188.05,188.05,182.45,185.95,35450,311900
2024-10-24 13:18:00+05:30,186,187,180.7,183.6,25400,321150
2024-10-24 13:21:00+05:30,183.6,191.65,183,189.95,43860,324700
2024-10-24 13:24:00+05:30,190.25,195.5,187.3,189.4,42040,307010
2024-10-24 13:27:00+05:30,189.4,192.8,183,190.4,34820,298720
2024-10-24 13:30:00+05:30,190.4,209.6,188,206.4,106310,300450
2024-10-24 13:33:00+05:30,206.7,222.3,206.7,220.65,87310,303200
2024-10-24 13:36:00+05:30,222.4,228.45,204.3,205.3,119460,300080
2024-10-24 13:39:00+05:30,205.3,208,198.1,208,64790,299960
2024-10-24 13:42:00+05:30,207.35,208.9,202.7,206.15,76760,294620
2024-10-24 13:45:00+05:30,206.15,218.85,205,210.15,125020,304580
2024-10-24 13:48:00+05:30,210.15,211,186.05,190,131210,339980
2024-10-24 13:51:00+05:30,190,193.95,182,188.8,64540,345900
2024-10-24 13:54:00+05:30,188.8,193.35,185.65,191.7,43980,318660
2024-10-24 13:57:00+05:30,192.15,197.2,188.5,190.5,42410,324070
2024-10-24 14:00:00+05:30,190.55,191.05,180,187.45,72200,328110
2024-10-24 14:03:00+05:30,187.45,197.35,186.6,190.4,69780,327820
2024-10-24 14:06:00+05:30,189.85,194.95,186.3,191.5,40320,328330
2024-10-24 14:09:00+05:30,192.75,195.75,189.5,195,31730,328750
2024-10-24 14:12:00+05:30,194.2,197.3,191.55,194.5,45410,338500
2024-10-24 14:15:00+05:30,194.5,205.45,192,204.65,52830,340280
2024-10-24 14:18:00+05:30,204.65,206,195.3,195.3,72100,340240
2024-10-24 14:21:00+05:30,196.5,205.75,192.9,204.75,87430,340700
2024-10-24 14:24:00+05:30,204.75,236.05,203.2,216.4,204200,343670
2024-10-24 14:27:00+05:30,216.4,217.2,205.2,215.1,78380,319580
2024-10-24 14:30:00+05:30,215,215,198.5,202,96690,320240
2024-10-24 14:33:00+05:30,202,207.4,200.15,204.1,50340,326560
2024-10-24 14:36:00+05:30,204.1,204.95,187.05,194.4,84620,331860
2024-10-24 14:39:00+05:30,194.4,196.8,187.4,195,81750,336790
2024-10-24 14:42:00+05:30,195,203,191.05,192.35,91620,345980
2024-10-24 14:45:00+05:30,192.7,202.8,190,190.55,79950,339810
2024-10-24 14:48:00+05:30,191.6,197.65,185.25,196.6,63860,336430
2024-10-24 14:51:00+05:30,197.6,197.95,190.9,192.05,37100,333950
2024-10-24 14:54:00+05:30,194.05,195,189.1,195,61440,332290
2024-10-24 14:57:00+05:30,195,196,190.3,194.25,31840,331630
2024-10-24 15:00:00+05:30,194.25,198.75,173.25,177.3,174860,331270
2024-10-24 15:03:00+05:30,177.4,181.2,165.5,168.35,126750,349800
2024-10-24 15:06:00+05:30,168.35,177,157,171.05,185110,355910
2024-10-24 15:09:00+05:30,171.05,175.35,165.8,172.35,120650,360260
2024-10-24 15:12:00+05:30,171.75,173.65,163,163,121580,369710
2024-10-24 15:15:00+05:30,164.9,166.65,156.3,161.45,138050,378840
2024-10-24 15:18:00+05:30,161.85,162.9,153.6,159.25,126320,384120
2024-10-24 15:21:00+05:30,159.25,160.85,155,155.5,98620,393840
2024-10-24 15:24:00+05:30,155.5,160,155,155.15,140640,414180
2024-10-24 15:27:00+05:30,155.7,156.35,101.2,101.2,154020,409860
